player_name,match_link,home_team
Gianluca Marzullo,/spielbericht/index/spielbericht/2506811,False
Djamal Ziane,/spielbericht/index/spielbericht/2506811,False
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2506899,True
Ronny Surma,/spielbericht/index/spielbericht/2506899,True
Gino Böhne,/spielbericht/index/spielbericht/2506899,True
Marcel Trojandt,/spielbericht/index/spielbericht/2506899,True
Sebastian Dräger,/spielbericht/index/spielbericht/2506899,True
Hiromu Watahiki,/spielbericht/index/spielbericht/2506899,True
Ondrej Brusch,/spielbericht/index/spielbericht/2506899,True
Norikazu Murakami,/spielbericht/index/spielbericht/2506899,True
Ramón Hofmann,/spielbericht/index/spielbericht/2506899,True
Gianluca Marzullo,/spielbericht/index/spielbericht/2506899,True
Djamal Ziane,/spielbericht/index/spielbericht/2506899,True
Franco Flückiger,/spielbericht/index/spielbericht/2506899,False
Jan Penc,/spielbericht/index/spielbericht/2506899,False
Sebastian Berg,/spielbericht/index/spielbericht/2506899,False
Robin Huth,/spielbericht/index/spielbericht/2506899,False
Oliver Merkel,/spielbericht/index/spielbericht/2506899,False
Lubos Loucka,/spielbericht/index/spielbericht/2506899,False
Karl Petrick,/spielbericht/index/spielbericht/2506899,False
Jaroslav Dittrich,/spielbericht/index/spielbericht/2506899,False
Jiri Liska,/spielbericht/index/spielbericht/2506899,False
Jiri Sisler,/spielbericht/index/spielbericht/2506899,False
Jan Nezmar,/spielbericht/index/spielbericht/2506899,False
Brian Gheorghiu,/spielbericht/index/spielbericht/2506819,True
Johannes Carl,/spielbericht/index/spielbericht/2506819,True
Paul Schletzke,/spielbericht/index/spielbericht/2506819,True
Robert Häring,/spielbericht/index/spielbericht/2506819,True
Steven Dietzsch,/spielbericht/index/spielbericht/2506819,True
Dimo Raffel,/spielbericht/index/spielbericht/2506819,True
Danny Reuther,/spielbericht/index/spielbericht/2506819,True
Robin Pollmer,/spielbericht/index/spielbericht/2506819,True
Maximilian Enkelmann,/spielbericht/index/spielbericht/2506819,True
Benjamin Bahner,/spielbericht/index/spielbericht/2506819,True
Markus Hacker,/spielbericht/index/spielbericht/2506819,True
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2506819,False
Markus Krug,/spielbericht/index/spielbericht/2506819,False
Ronny Surma,/spielbericht/index/spielbericht/2506819,False
Marcel Trojandt,/spielbericht/index/spielbericht/2506819,False
Sebastian Dräger,/spielbericht/index/spielbericht/2506819,False
Hiromu Watahiki,/spielbericht/index/spielbericht/2506819,False
Ondrej Brusch,/spielbericht/index/spielbericht/2506819,False
Norikazu Murakami,/spielbericht/index/spielbericht/2506819,False
Ramón Hofmann,/spielbericht/index/spielbericht/2506819,False
Gianluca Marzullo,/spielbericht/index/spielbericht/2506819,False
Djamal Ziane,/spielbericht/index/spielbericht/2506819,False
Patrick Baldauf,/spielbericht/index/spielbericht/2506830,True
Marcus Bäcker,/spielbericht/index/spielbericht/2506830,True
Matthias Oehme,/spielbericht/index/spielbericht/2506830,True
Martin Salis,/spielbericht/index/spielbericht/2506830,True
Marcus Schubert,/spielbericht/index/spielbericht/2506830,True
Matthias Buszkowiak,/spielbericht/index/spielbericht/2506830,True
Christian Wegener,/spielbericht/index/spielbericht/2506830,True
Michael Schmidt,/spielbericht/index/spielbericht/2506830,True
Leo Hinrichsmeyer,/spielbericht/index/spielbericht/2506830,True
Felix Krause,/spielbericht/index/spielbericht/2506830,True
Patrik Schlegel,/spielbericht/index/spielbericht/2506830,True
Julien Latendresse-Levesque,/spielbericht/index/spielbericht/2506830,False
Ronny Surma,/spielbericht/index/spielbericht/2506830,False
Gino Böhne,/spielbericht/index/spielbericht/2506830,False
Armin Kilz,/spielbericht/index/spielbericht/2506830,False
Sebastian Dräger,/spielbericht/index/spielbericht/2506830,False
Hiromu Watahiki,/spielbericht/index/spielbericht/2506830,False
Ondrej Brusch,/spielbericht/index/spielbericht/2506830,False
Norikazu Murakami,/spielbericht/index/spielbericht/2506830,False
Ramón Hofmann,/spielbericht/index/spielbericht/2506830,False
Carlos Brinsa,/spielbericht/index/spielbericht/2506830,False
Gianluca Marzullo,/spielbericht/index/spielbericht/2506830,False
Tim Ackermann,/spielbericht/index/spielbericht/2506909,True
Christoph Grabinski,/spielbericht/index/spielbericht/2506909,True
Marian Spanier,/spielbericht/index/spielbericht/2506909,True
Tino Langhammer,/spielbericht/index/spielbericht/2506909,True
Bastian Göller,/spielbericht/index/spielbericht/2506909,True
Maciej Zielinski,/spielbericht/index/spielbericht/2506909,True
Stefan Staskewitsch,/spielbericht/index/spielbericht/2506909,True
Maik Müller,/spielbericht/index/spielbericht/2506909,True
Mykhaylo Kopolovets,/spielbericht/index/spielbericht/2506909,True
